RespId,weight_PID,complete_status,Q1_1,Q1_2,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_7,Q3_8,Q4,Q5,QPID,PPWORKA,ABCAGE,ppage,ppeducat,ppeduc5,ppethm,ppgender,pphhsize,pphouse4,ppinc7,ppmarit5,ppmsacat,ppreg4,ppreg9,pprent,ppstaten,ppemploy,ppt18ov,ppkid017,xspanish,xparty4,xurbanicity,Contact
260840011,.7115,qualified,Favorable,Unfavorable,Approve,Approve,Approve,Approve,Disapprove,Approve,Approve,Approve,Approve,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Joe Biden,Better than you expected,Something else,Retired,65+,68,Some college,Some college or Associate degree,"White, Non-Hispanic",Female,2,A one-family house detached from any other house,"$100,000 to $149,999",Now Married,Metro,NorthEast,Middle Atlantic,Owned or being bought by you or someone in your household,Pennsylvania,Not working,2,0,English,Something else,Suburban,Skipped
260840012,.7907,qualified,No opinion,Don’t know,Disapprove,Approve,Approve,Disapprove,Disapprove,Skipped,Approve,Approve,Skipped,Skipped,Skipped,Skipped,Skipped,Approve,Approve,Skipped,Neither,Better than you expected,Something else,Retired,50-64,60,Some college,Some college or Associate degree,"White, Non-Hispanic",Female,3,A one-family house detached from any other house,"$50,000 to $74,999",Separated,Metro,West,Pacific,Owned or being bought by you or someone in your household,California,Not working,3,0,English,Democrat,Urban,"No, I am not willing to be interviewed"
260840013,.9489,qualified,No opinion,Unfavorable,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Neither,The same as you expected,An independent,Employed full-time (by someone else),30-49,34,High school,High school graduate (high school diploma or the equivalent GED),"White, Non-Hispanic",Male,2,A one-family house detached from any other house,"$100,000 to $149,999",Separated,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,North Carolina,Working full-time,2,0,English,Independent,Rural,"No, I am not willing to be interviewed"
260840014,.5647,qualified,Favorable,Unfavorable,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Joe Biden,Better than you expected,A Democrat,Retired,65+,78,Bachelors degree or higher,Master’s degree or above,"White, Non-Hispanic",Female,2,A one-family house detached from any other house,"$150,000 or more",Now Married,Metro,West,Pacific,Owned or being bought by you or someone in your household,California,Not working,2,0,English,Independent,Suburban,"Yes, I am willing to be interviewed"
260840015,.9126,qualified,Unfavorable,Favorable,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Donald Trump,Worse than you expected,A Republican,Other,50-64,59,Bachelors degree or higher,Bachelor’s degree,"White, Non-Hispanic",Male,3,One-family condo or townhouse attached to other units,"$50,000 to $74,999",Never married,Metro,NorthEast,Middle Atlantic,Owned or being bought by you or someone in your household,Pennsylvania,Not working,3,0,English,Republican,Suburban,"No, I am not willing to be interviewed"
260840016,.8169,qualified,Unfavorable,Favorable,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Approve,Approve,Approve,Approve,Approve,Approve,Disapprove,Donald Trump,"Didn’t read, see, or hear about the State of the Union address",An independent,Other,50-64,61,Bachelors degree or higher,Bachelor’s degree,"White, Non-Hispanic",Male,2,A one-family house detached from any other house,"$150,000 or more",Now Married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,Georgia,Not working,2,0,English,Independent,Suburban,"No, I am not willing to be interviewed"
260840017,.5647,qualified,Favorable,Unfavorable,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Joe Biden,Better than you expected,A Democrat,Homemaker,65+,65,Bachelors degree or higher,Bachelor’s degree,"White, Non-Hispanic",Female,2,A one-family house detached from any other house,"$150,000 or more",Now Married,Metro,West,Mountain,Owned or being bought by you or someone in your household,Arizona,Not working,2,0,English,Democrat,Suburban,"No, I am not willing to be interviewed"
260840018,1.2157,qualified,Unfavorable,No opinion,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Approve,Disapprove,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Neither,Better than you expected,An independent,Retired,65+,65,High school,High school graduate (high school diploma or the equivalent GED),"White, Non-Hispanic",Male,2,A one-family house detached from any other house,"$50,000 to $74,999",Now Married,Non-Metro,MidWest,West North Central,Owned or being bought by you or someone in your household,Missouri,Not working,2,0,English,Independent,Suburban,"Yes, I am willing to be interviewed"
260840019,.7036,qualified,Unfavorable,Favorable,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Donald Trump,"Didn’t read, see, or hear about the State of the Union address",A Republican,Employed full-time (by someone else),30-49,46,Bachelors degree or higher,Bachelor’s degree,"White, Non-Hispanic",Male,3,A one-family house detached from any other house,"$100,000 to $149,999",Now Married,Metro,South,East South Central,Owned or being bought by you or someone in your household,Tennessee,Working full-time,2,1,English,Republican,Urban,"Yes, I am willing to be interviewed"
260840020,.7763,qualified,Favorable,Unfavorable,Approve,Approve,Approve,Disapprove,Approve,Approve,Approve,Approve,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Neither,"Didn’t read, see, or hear about the State of the Union address",A Democrat,Full-time student,18-29,23,Some college,Some college or Associate degree,"2+ Races, Non-Hispanic",Male,2,Building with 2 or more apartments,"$100,000 to $149,999",Never married,Metro,West,Pacific,Rented for cash,California,Not working,2,0,English,Democrat,Urban,"No, I am not willing to be interviewed"
260840021,1.0633,qualified,Unfavorable,Unfavorable,Disapprove,Disapprove,Approve,Disapprove,Disapprove,Approve,Disapprove,Approve,Approve,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Neither,"Didn’t read, see, or hear about the State of the Union address",Something else,Employed part-time (by someone else),65+,69,Some college,Some college or Associate degree,"White, Non-Hispanic",Female,1,Building with 2 or more apartments,"$10,000 to $24,999",Divorced,Metro,NorthEast,Middle Atlantic,Rented for cash,New Jersey,Working part-time,1,0,English,Something else,Suburban,"Yes, I am willing to be interviewed"
260840022,.9269,qualified,Unfavorable,Favorable,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Donald Trump,Worse than you expected,A Republican,Employed full-time (by someone else),50-64,59,Bachelors degree or higher,Master’s degree or above,Hispanic,Male,4,A one-family house detached from any other house,"$75,000 to $99,999",Now Married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,Florida,Working full-time,4,0,English,Republican,Suburban,"Yes, I am willing to be interviewed"
260840023,1.2,qualified,No opinion,No opinion,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Approve,Disapprove,Disapprove,Approve,Approve,Approve,Disapprove,Neither,Better than you expected,Something else,Other,30-49,46,Some college,Some college or Associate degree,"White, Non-Hispanic",Male,1,Building with 2 or more apartments,"$10,000 to $24,999",Never married,Metro,NorthEast,New England,Rented for cash,Massachusetts,Working full-time,1,0,English,Independent,Suburban,"No, I am not willing to be interviewed"
260840024,.7467,qualified,Unfavorable,Favorable,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Donald Trump,The same as you expected,A Republican,Self-employed,50-64,64,High school,High school graduate (high school diploma or the equivalent GED),"White, Non-Hispanic",Female,3,A one-family house detached from any other house,"$100,000 to $149,999",Now Married,Non-Metro,South,East South Central,Owned or being bought by you or someone in your household,Tennessee,Working part-time,3,0,English,Republican,Urban,"No, I am not willing to be interviewed"
260840025,.927,qualified,Unfavorable,Unfavorable,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Approve,Disapprove,Approve,Disapprove,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Neither,The same as you expected,An independent,Retired,65+,81,Some college,Some college or Associate degree,"White, Non-Hispanic",Male,2,A one-family house detached from any other house,"$75,000 to $99,999",Now Married,Metro,MidWest,East North Central,Owned or being bought by you or someone in your household,Michigan,Not working,2,0,English,Independent,Suburban,"No, I am not willing to be interviewed"
260840026,1.3988,qualified,Favorable,Unfavorable,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Joe Biden,Better than you expected,An independent,Retired,65+,79,Bachelors degree or higher,Bachelor’s degree,"Other, Non-Hispanic",Male,1,Building with 2 or more apartments,"$10,000 to $24,999",Divorced,Metro,West,Pacific,Rented for cash,California,Not working,1,0,English,Democrat,Suburban,"Yes, I am willing to be interviewed"
260840027,.9922,qualified,Unfavorable,Favorable,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Donald Trump,Worse than you expected,A Republican,Retired,50-64,64,Some college,Some college or Associate degree,"White, Non-Hispanic",Male,1,A one-family house detached from any other house,"$10,000 to $24,999",Never married,Metro,NorthEast,Middle Atlantic,Owned or being bought by you or someone in your household,Pennsylvania,Not working,1,0,English,Republican,Suburban,"No, I am not willing to be interviewed"
260840028,.5643,qualified,Favorable,Unfavorable,Approve,Disapprove,Approve,Approve,Disapprove,Approve,Disapprove,Approve,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Joe Biden,Better than you expected,A Democrat,Retired,65+,76,Some college,Some college or Associate degree,"White, Non-Hispanic",Female,5,A one-family house detached from any other house,"$75,000 to $99,999",Widowed,Metro,MidWest,East North Central,Owned or being bought by you or someone in your household,Michigan,Not working,5,0,English,Democrat,Suburban,"No, I am not willing to be interviewed"
260840029,.5637,qualified,Unfavorable,Favorable,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Donald Trump,The same as you expected,A Democrat,Employed full-time (by someone else),30-49,46,Some college,Some college or Associate degree,"2+ Races, Non-Hispanic",Male,5,A one-family house detached from any other house,"$100,000 to $149,999",Now Married,Non-Metro,South,West South Central,Rented for cash,Oklahoma,Working part-time,5,0,English,Independent,Urban,"Yes, I am willing to be interviewed"
260840030,.7078,qualified,Unfavorable,Favorable,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Approve,Approve,Disapprove,Approve,Approve,Approve,Approve,Donald Trump,The same as you expected,A Republican,Retired,65+,73,Some college,Some college or Associate degree,"White, Non-Hispanic",Female,2,A one-family house detached from any other house,"$100,000 to $149,999",Now Married,Non-Metro,MidWest,West North Central,Owned or being bought by you or someone in your household,Missouri,Not working,2,0,English,Republican,Rural,"No, I am not willing to be interviewed"
260840031,.989,qualified,Unfavorable,Favorable,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Donald Trump,The same as you expected,A Republican,Employed full-time (by someone else),50-64,57,High school,High school graduate (high school diploma or the equivalent GED),"White, Non-Hispanic",Male,4,Building with 2 or more apartments,"$75,000 to $99,999",Now Married,Metro,West,Pacific,Rented for cash,California,Working full-time,3,1,English,Republican,Suburban,"Yes, I am willing to be interviewed"
260840032,.7707,qualified,Unfavorable,Unfavorable,Approve,Disapprove,Approve,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Approve,Approve,Disapprove,Approve,Approve,Disapprove,Disapprove,Neither,Better than you expected,A Republican,Employed full-time (by someone else),30-49,34,Some college,Some college or Associate degree,"White, Non-Hispanic",Female,5,A one-family house detached from any other house,"$100,000 to $149,999",Now Married,Metro,South,West South Central,Owned or being bought by you or someone in your household,Texas,Working full-time,2,3,English,Republican,Suburban,"No, I am not willing to be interviewed"
260840033,.5923,qualified,Unfavorable,Unfavorable,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Approve,Disapprove,Approve,Disapprove,Approve,Approve,Disapprove,Approve,Approve,Disapprove,Disapprove,Neither,The same as you expected,A Republican,Retired,65+,84,Some college,Some college or Associate degree,"White, Non-Hispanic",Female,2,A one-family house detached from any other house,"$100,000 to $149,999",Now Married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,South Carolina,Not working,2,0,English,Republican,Suburban,"Yes, I am willing to be interviewed"
260840034,.9089,qualified,Favorable,Unfavorable,Approve,Disapprove,Approve,Approve,Disapprove,Approve,Disapprove,Disapprove,Approve,Approve,Disapprove,Disapprove,Disapprove,Approve,Disapprove,Disapprove,Neither,"Didn’t read, see, or hear about the State of the Union address",An independent,Employed full-time (by someone else),50-64,61,Some college,Some college or Associate degree,"White, Non-Hispanic",Female,3,A one-family house detached from any other house,"$150,000 or more",Now Married,Metro,MidWest,West North Central,Owned or being bought by you or someone in your household,Minnesota,Working full-time,3,0,English,Independent,Suburban,"No, I am not willing to be interviewed"
260840035,.8584,qualified,Favorable,Unfavorable,Approve,Skipped,Approve,Approve,Approve,Approve,Approve,Approve,Skipped,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Joe Biden,Better than you expected,An independent,Employed full-time (by someone else),30-49,42,Bachelors degree or higher,Bachelor’s degree,"White, Non-Hispanic",Male,5,A one-family house detached from any other house,"$150,000 or more",Now Married,Metro,South,West South Central,Owned or being bought by you or someone in your household,Texas,Working full-time,2,3,English,Independent,Suburban,"No, I am not willing to be interviewed"
260840036,.624,qualified,Unfavorable,Favorable,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Donald Trump,"Didn’t read, see, or hear about the State of the Union address",A Democrat,Retired,65+,74,High school,High school graduate (high school diploma or the equivalent GED),"White, Non-Hispanic",Female,3,Building with 2 or more apartments,"$75,000 to $99,999",Widowed,Non-Metro,South,East South Central,Rented for cash,Kentucky,Not working,3,0,English,Democrat,Urban,"Yes, I am willing to be interviewed"
260840037,.5276,qualified,Favorable,Unfavorable,Approve,Approve,Approve,Approve,Disapprove,Approve,Approve,Approve,Approve,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Joe Biden,The same as you expected,A Democrat,Retired,65+,71,Bachelors degree or higher,Bachelor’s degree,"White, Non-Hispanic",Male,4,A one-family house detached from any other house,"$50,000 to $74,999",Now Married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,Florida,Not working,4,0,English,Democrat,Suburban,"No, I am not willing to be interviewed"
260840038,.8026,qualified,Favorable,Unfavorable,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Disapprove,Disapprove,Approve,Approve,Disapprove,Disapprove,Joe Biden,Better than you expected,A Republican,Retired,65+,87,High school,High school graduate (high school diploma or the equivalent GED),"White, Non-Hispanic",Female,2,A one-family house detached from any other house,"$50,000 to $74,999",Now Married,Metro,South,East South Central,Owned or being bought by you or someone in your household,Kentucky,Not working,2,0,English,Republican,Urban,"No, I am not willing to be interviewed"
260840039,1.0746,qualified,Unfavorable,Favorable,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Donald Trump,Worse than you expected,Something else,Retired,65+,69,Some college,Some college or Associate degree,"White, Non-Hispanic",Male,2,A one-family house detached from any other house,"$10,000 to $24,999",Now Married,Non-Metro,MidWest,East North Central,Owned or being bought by you or someone in your household,Michigan,Not working,2,0,English,Independent,Rural,"Yes, I am willing to be interviewed"
260840040,.7507,qualified,Favorable,Unfavorable,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Joe Biden,"Didn’t read, see, or hear about the State of the Union address",An independent,Retired,65+,75,Some college,Some college or Associate degree,"White, Non-Hispanic",Male,2,A one-family house detached from any other house,"$100,000 to $149,999",Now Married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,Florida,Not working,2,0,English,Independent,Suburban,"No, I am not willing to be interviewed"
260840041,1.0403,qualified,Unfavorable,Favorable,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Approve,Approve,Approve,Approve,Approve,Disapprove,Approve,Approve,Disapprove,Donald Trump,Worse than you expected,An independent,Employed full-time (by someone else),50-64,50,Bachelors degree or higher,Bachelor’s degree,"White, Non-Hispanic",Male,1,A one-family house detached from any other house,"$100,000 to $149,999",Divorced,Metro,West,Mountain,Owned or being bought by you or someone in your household,Colorado,Working full-time,1,0,English,Republican,Suburban,"No, I am not willing to be interviewed"
260840042,.8116,qualified,Unfavorable,Unfavorable,Disapprove,Disapprove,Disapprove,Disapprove,Approve,Disapprove,Disapprove,Approve,Disapprove,Disapprove,Approve,Approve,Approve,Disapprove,Approve,Approve,Donald Trump,Better than you expected,An independent,Retired,65+,65,Bachelors degree or higher,Master’s degree or above,"White, Non-Hispanic",Female,3,A one-family house detached from any other house,"$100,000 to $149,999",Now Married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,Virginia,Not working,2,1,English,Independent,Suburban,"No, I am not willing to be interviewed"
260840043,.6315,qualified,Unfavorable,Unfavorable,Disapprove,Disapprove,Approve,Disapprove,Disapprove,Approve,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Neither,"Didn’t read, see, or hear about the State of the Union address",A Democrat,Employed full-time (by someone else),50-64,58,Some college,Some college or Associate degree,"Other, Non-Hispanic",Male,4,One-family condo or townhouse attached to other units,"$150,000 or more",Now Married,Metro,West,Pacific,Rented for cash,California,Working full-time,4,0,English,Democrat,Suburban,"No, I am not willing to be interviewed"
260840044,.8163,qualified,Unfavorable,No opinion,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Approve,Approve,Approve,Disapprove,Approve,Approve,Disapprove,Approve,Donald Trump,Better than you expected,A Republican,Retired,65+,69,High school,High school graduate (high school diploma or the equivalent GED),"White, Non-Hispanic",Female,1,One-family condo or townhouse attached to other units,"$25,000 to $49,999",Widowed,Metro,MidWest,East North Central,Owned or being bought by you or someone in your household,Michigan,Not working,1,0,English,Republican,Urban,"No, I am not willing to be interviewed"
260840045,.607,qualified,Unfavorable,Favorable,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Approve,Disapprove,Disapprove,Disapprove,Approve,Approve,Approve,Approve,Approve,Approve,Disapprove,Donald Trump,The same as you expected,A Republican,Retired,65+,82,Bachelors degree or higher,Bachelor’s degree,"White, Non-Hispanic",Male,2,A one-family house detached from any other house,"$100,000 to $149,999",Now Married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,Florida,Not working,2,0,English,Republican,Urban,"Yes, I am willing to be interviewed"
260840046,1.0191,qualified,Unfavorable,Favorable,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Donald Trump,The same as you expected,A Republican,Retired,65+,69,Some college,Some college or Associate degree,"White, Non-Hispanic",Female,2,A one-family house detached from any other house,"$10,000 to $24,999",Now Married,Metro,NorthEast,Middle Atlantic,Owned or being bought by you or someone in your household,Pennsylvania,Not working,2,0,English,Republican,Suburban,"No, I am not willing to be interviewed"
260840047,.9883,qualified,No opinion,No opinion,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Donald Trump,Worse than you expected,An independent,Employed full-time (by someone else),50-64,56,Some college,Some college or Associate degree,"White, Non-Hispanic",Male,4,A one-family house detached from any other house,"$100,000 to $149,999",Now Married,Metro,West,Pacific,Owned or being bought by you or someone in your household,Oregon,Working full-time,4,0,English,Independent,Suburban,"Yes, I am willing to be interviewed"
260840048,.8568,qualified,Unfavorable,Favorable,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Donald Trump,Better than you expected,An independent,Employed full-time (by someone else),50-64,64,Some college,Some college or Associate degree,"White, Non-Hispanic",Male,2,A one-family house detached from any other house,"$25,000 to $49,999",Now Married,Metro,West,Pacific,Rented for cash,California,Working part-time,2,0,English,Independent,Rural,"No, I am not willing to be interviewed"
260840049,1.0425,qualified,Unfavorable,Unfavorable,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Neither,Better than you expected,An independent,Retired,65+,71,Bachelors degree or higher,Bachelor’s degree,"White, Non-Hispanic",Female,1,Building with 2 or more apartments,"$50,000 to $74,999",Widowed,Metro,MidWest,East North Central,Rented for cash,Ohio,Not working,1,0,English,Independent,Suburban,"No, I am not willing to be interviewed"
